rank,name,year,rating,genre,certificate,run_time,tagline,budget,box_office,casts,directors,writers,budget_yield
211,Rocky,1976,8.1,Drama,PG,120,You have a ringside seat for the bloodiest bicentennial in history!,960000,117250402,Sylvester Stallone,John G. Avildsen,Sylvester Stallone,122.1358354
159,Gone with the Wind,1939,8.2,Drama,Passed,238,"For the thousands who remember its unparalleled drama, action and romance! For the new thousands to whom the wonders will be revealed for the first time! Breathtaking spectacle, inspired acting by the greatest cast ever assembled! The screen's most exciting love story! The most-talked about picture ever made! [reissue]",3977000,402382193,Clark Gable,Victor Fleming,Margaret Mitchell,101.1773178
28,Star Wars: Episode IV - A New Hope,1977,8.6,Action,PG,121,It's Back! The Force will be with you for three weeks only. (1979 Reissue Poster),11000000,775398007,Mark Hamill,George Lucas,George Lucas,70.49072791
204,Jaws,1975,8.1,Adventure,PG,124,Amity Island had everything. Clear skies. Gentle surf. Warm water. People flocked there every summer. It was the perfect feeding ground.,7000000,476512065,Roy Scheider,Steven Spielberg,Peter Benchley,68.07315214
60,Paths of Glory,1957,8.4,Drama,Approved,88,Never has the screen thrust so deeply into the guts of war!,250000,15600000,Kirk Douglas,Stanley Kubrick,Stanley Kubrick,62.4
128,The Kid,1921,8.3,Comedy,Passed,68,This is the great film he has been working on for a whole year,42000,2500000,Charles Chaplin,Charles Chaplin,Charles Chaplin,59.52380952
94,The Hunt,2012,8.3,Drama,R,115,The lie is spreading.,3450000,180003000,Mads Mikkelsen,Thomas Vinterberg,Thomas Vinterberg,52.17478261
114,A Separation,2011,8.3,Drama,PG-13,123,"Ugly truth, sweet lies",500000,22926076,Payman Maadi,Asghar Farhadi,Asghar Farhadi,45.852152
46,The Intouchables,2011,8.5,Biography,R,112,Sometimes you have to reach into someone else's world to find out what's missing in your own.,9500000,426588510,François Cluzet,Olivier Nakache,Olivier Nakache,44.90405368
2,The Godfather,1972,9.2,Crime,R,175,An offer you can't refuse.,6000000,250341816,Marlon Brando,Francis Ford Coppola,Mario Puzo,41.723636
125,Dangal,2016,8.3,Action,Not Rated,161,You think our girls are any lesser than boys?,8400000,340000000,Aamir Khan,Nitesh Tiwari,Piyush Gupta,40.47619048
226,The Exorcist,1973,8.1,Horror,R,122,The movie you've been waiting for...without the wait.,11000000,441306145,Ellen Burstyn,William Friedkin,William Peter Blatty,40.11874045
33,Psycho,1960,8.5,Horror,R,109,The picture you MUST see from the beginning... Or not at all!... For no one will be seated after the start of... Alfred Hitchcock's greatest shocker Psycho.,806947,32052925,Anthony Perkins,Alfred Hitchcock,Joseph Stefano,39.72122704
58,The Lives of Others,2006,8.4,Drama,R,137,"Before the Fall of the Berlin Wall, East Germany's Secret Police Listened to Your Secrets",2000000,77356942,Ulrich Mühe,Florian Henckel von Donnersmarck,Florian Henckel von Donnersmarck,38.678471
49,Rear Window,1954,8.5,Mystery,PG,112,The Essential Hitchcock,1000000,37034579,James Stewart,Alfred Hitchcock,John Michael Hayes,37.034579
18,One Flew Over the Cuckoo's Nest,1975,8.7,Drama,18+,133,"If he's crazy, what does that make you?",3000000,109114817,Jack Nicholson,Milos Forman,Lawrence Hauben,36.37160567
175,Children of Heaven,1997,8.2,Drama,PG,89,A Little Secret...Their Biggest Adventure!,50000,1500000,Mohammad Amir Naji,Majid Majidi,Majid Majidi,30
15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,Action,PG,124,The Adventure Continues...,18000000,538375067,Mark Hamill,Irvin Kershner,Leigh Brackett,29.90972594
112,The Sting,1973,8.3,Comedy,PG,129,"Recapture ""the STING Experience"". REMEMBER HOW GOOD THE FEEL WAS THE FIRST TIME (re-release)",5500000,156000000,Paul Newman,George Roy Hill,David S. Ward,28.36363636
8,Pulp Fiction,1994,8.9,Crime,R,154,Girls like me don't make invitations like this to just anyone!,8000000,213928762,John Travolta,Quentin Tarantino,Quentin Tarantino,26.74109525
126,For a Few Dollars More,1965,8.2,Western,R,132,The man with no name is back.,600000,15000000,Clint Eastwood,Sergio Leone,Sergio Leone,25
194,Memories of Murder,2003,8.1,Crime,Not Rated,132,"1986 in a small town...for two detectives, everything was new.",2100000,51000000,Song Kang-ho,Bong Joon Ho,Bong Joon Ho,24.28571429
67,American Beauty,1999,8.4,Drama,R,122,... look closer,15000000,356296601,Kevin Spacey,Sam Mendes,Alan Ball,23.75310673
212,Platoon,1986,8.1,Drama,R,120,The first casualty of war is innocence.,6000000,138545632,Charlie Sheen,Oliver Stone,Oliver Stone,23.09093867
34,Parasite,2019,8.5,Drama,R,132,Misplaced familyhood (Australia/New Zealand/Singapore),11400000,262676096,Song Kang-ho,Bong Joon Ho,Bong Joon Ho,23.04176281
81,Good Will Hunting,1997,8.3,Drama,R,126,"Some people can never believe in themselves, until someone believes in them.",10000000,225000900,Robin Williams,Gus Van Sant,Matt Damon,22.50009
116,Taxi Driver,1976,8.2,Crime,R,114,"On every street in every city in this country, there's a nobody who dreams of being a somebody.",1300000,28570902,Robert De Niro,Martin Scorsese,Paul Schrader,21.97761692
56,Indiana Jones and the Raiders of the Lost Ark,1981,8.4,Action,PG,115,Indiana Jones - the new hero from the creators of JAWS and STAR WARS.,18000000,389925971,Harrison Ford,Steven Spielberg,Lawrence Kasdan,21.66255394
36,The Lion King,1994,8.5,Animation,G,88,See it for the first time ever in 3D (2011 3D re-release),45000000,968511805,Matthew Broderick,Roger Allers,Irene Mecchi,21.52248456
10,"The Good, the Bad and the Ugly",1966,8.8,Adventure,Approved,178,They formed an alliance of hate to steal a fortune in dead man's gold,1200000,25253887,Clint Eastwood,Sergio Leone,Luciano Vincenzoni,21.04490583
1,The Shawshank Redemption,1994,9.3,Drama,R,142,Fear can hold you prisoner. Hope can set you free.,25000000,507000000,Tim Robbins,Frank Darabont,Stephen King,20.28
30,Back to the Future,1985,8.5,Adventure,PG,116,He's the only kid ever to get into trouble before he was born. [UK],19000000,383336762,Michael J. Fox,Robert Zemeckis,Robert Zemeckis,20.17561905
75,Joker,2019,8.4,Crime,R,122,Put on a happy face.,55000000,1074458282,Joaquin Phoenix,Todd Phillips,Todd Phillips,19.53560513
241,The Sound of Music,1965,8.1,Biography,G,172,RADIANCE THAT FLOODS THE SCREEN...AND WARMS THE HEART!,8200000,159428329,Julie Andrews,Robert Wise,Georg Hurdalek,19.44247915
250,Dances with Wolves,1990,8,Adventure,PG-13,181,Inside everyone is a frontier waiting to be discovered.,22000000,424208848,Kevin Costner,Kevin Costner,Michael Blake,19.28222036
31,Spirited Away,2001,8.6,Animation,PG,125,The tunnel led Chihiro to a mysterious town.,19000000,355822319,Daveigh Chase,Hayao Miyazaki,Hayao Miyazaki,18.72749047
248,Aladdin,1992,8,Animation,G,90,Wish granted! (DVD re-release),28000000,504000100,Scott Weinger,Ron Clements,Ron Clements,18.00000357
144,Jurassic Park,1993,8.2,Action,PG-13,127,Life finds a way.,63000000,1109802321,Sam Neill,Steven Spielberg,Michael Crichton,17.61590986
101,Amélie,2001,8.3,Comedy,R,122,One person can change your life forever.,10000000,174122191,Audrey Tautou,Jean-Pierre Jeunet,Guillaume Laurant,17.4122191
240,The 400 Blows,1959,8.1,Crime,Not Rated,99,From the Vanguard of New Film-Makers Comes an Extraordinary Motion Picture,75000,1300000,Jean-Pierre Léaud,François Truffaut,François Truffaut,17.33333333
88,Capernaum,2018,8.4,Drama,R,126,"""Why are you suing your parents?"" ""For giving me life.""",4000000,68000600,Zain Al Rafeea,Nadine Labaki,Nadine Labaki,17.00015
141,The Sixth Sense,1999,8.2,Drama,PG-13,107,"""I see dead people""",40000000,672806432,Bruce Willis,M. Night Shyamalan,M. Night Shyamalan,16.8201608
163,The Secret in Their Eyes,2009,8.2,Drama,R,129,Un crimen sin castigo. Un amor puro. Una historia que no debe morir. [A crime without a punishment. A pure love. A story that must not die.],2000000,33000400,Ricardo Darín,Juan José Campanella,Eduardo Sacheri,16.5002
42,Whiplash,2014,8.5,Drama,R,106,The road to greatness can take you to the edge,3300000,49396747,Miles Teller,Damien Chazelle,Damien Chazelle,14.96871121
122,Like Stars on Earth,2007,8.3,Drama,PG,165,Every Child is Special,1463414,21897373,Darsheel Safary,Aamir Khan,Amole Gupte,14.96321137
6,Schindler's List,1993,9,Biography,R,195,"Whoever saves one life, saves the world entire.",22000000,322161245,Liam Neeson,Steven Spielberg,Thomas Keneally,14.64369295
89,Star Wars: Episode VI - Return of the Jedi,1983,8.3,Action,PG,131,"Coming May 25, 1983 to your galaxy. [Second Advance poster]",32500000,475106177,Mark Hamill,Richard Marquand,Lawrence Kasdan,14.6186516
205,Dead Poets Society,1989,8.1,Comedy,PG,128,He was their inspiration. He made their lives extraordinary.,16400000,235860116,Robin Williams,Peter Weir,Tom Schulman,14.38171439
22,The Silence of the Lambs,1991,8.6,Crime,R,118,"Dr. Hannibal Lecter. Brilliant. Cunning. Psychotic. In his mind lies the clue to a ruthless killer. - Clarice Starling, FBI. Brilliant. Vulnerable. Alone. She must trust him to stop the killer.",19000000,272742922,Jodie Foster,Jonathan Demme,Thomas Harris,14.35489063
133,Green Book,2018,8.2,Biography,PG-13,130,Inspired by a True Friendship,23000000,321752656,Viggo Mortensen,Peter Farrelly,Nick Vallelonga,13.98924591
119,Snatch,2000,8.2,Comedy,R,102,Stealin' Stones and Breakin' Bones,6000000,83557872,Jason Statham,Guy Ritchie,Guy Ritchie,13.926312
129,Some Like It Hot,1959,8.2,Comedy,Passed,121,"Not since SCARFACE, so much action. Not since the Marx Brothers, so much comedy. Not since THE SEVEN YEAR ITCH, so much Marilyn.",2883848,40000000,Marilyn Monroe,Billy Wilder,Billy Wilder,13.87035655
83,3 Idiots,2009,8.4,Comedy,PG-13,170,Don't be Stupid. Be an I.D.I.O.T.,5400000,73400000,Aamir Khan,Rajkumar Hirani,Rajkumar Hirani,13.59259259
74,Toy Story,1995,8.3,Animation,G,81,"""Oooh...3-D"" (USA 2009 re-release)",30000000,394436586,Tom Hanks,John Lasseter,John Lasseter,13.1478862
11,Forrest Gump,1994,8.8,Drama,PG-13,142,The story of a lifetime.,55000000,678226465,Tom Hanks,Robert Zemeckis,Winston Groom,12.33139027
103,A Clockwork Orange,1971,8.3,Crime,X,136,"Being the adventures of a young man ... who couldn't resist pretty girls ... or a bit of the old ultra-violence ... went to jail, was re-conditioned ... and came out a different young man ... or was he ?",2200000,26960374,Malcolm McDowell,Stanley Kubrick,Stanley Kubrick,12.25471545
215,The Terminator,1984,8.1,Action,R,107,"La sua missione e una sola: distruggere, uccidere... (His one and only mission: to destroy, to kill...) (Italian DVD)",6400000,78371200,Arnold Schwarzenegger,James Cameron,James Cameron,12.2455
7,The Lord of the Rings: The Return of the King,2003,9,Action,PG-13,201,The eye of the enemy is moving.,94000000,1146457748,Elijah Wood,Peter Jackson,J.R.R. Tolkien,12.19635902
26,Life Is Beautiful,1997,8.6,Comedy,PG-13,116,"An unforgettable fable that proves love, family and imagination conquer all. (Canadian one sheet)",20000000,230098753,Roberto Benigni,Roberto Benigni,Vincenzo Cerami,11.50493765
196,Wild Tales,2014,8.1,Comedy,R,122,We can all lose control,5500000,62000000,Darío Grandinetti,Damián Szifron,Germán Servidio,11.27272727
225,The Best Years of Our Lives,1946,8.1,Drama,Approved,170,THE SCREEN'S GREATEST LOVE STORY IS THE BEST FILM THIS YEAR FROM HOLLYWOOD!,2100000,23661347,Myrna Loy,William Wyler,Robert E. Sherwood,11.2673081
167,Trainspotting,1996,8.1,Drama,R,93,"Choose life. Choose a job. Choose a starter home. Choose dental insurance, leisure wear and matching luggage. Choose your future. But why would anyone want to do a thing like that?",1500000,16767475,Ewan McGregor,Danny Boyle,Irvine Welsh,11.17831667
140,Unforgiven,1992,8.2,Drama,R,130,"It's a hell of a thing, killing a man",14400000,159167799,Clint Eastwood,Clint Eastwood,David Webb Peoples,11.05331938
165,"Three Billboards Outside Ebbing, Missouri",2017,8.1,Comedy,R,115,medyCrimeDrama,15000000,162861289,Frances McDormand,Martin McDonagh,Martin McDonagh,10.85741927
181,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,Adventure,PG-13,130,It All Ends Here,125000000,1342359942,Daniel Radcliffe,David Yates,Steve Kloves,10.73887954
236,Amores Perros,2000,8.1,Drama,R,154,Love. Betrayal. Death.,2000000,20908467,Emilio Echevarría,Alejandro G. Iñárritu,Guillermo Arriaga,10.4542335
182,On the Waterfront,1954,8.1,Crime,Approved,108,The Man Lived by the Jungle Law of the Docks!,910000,9500000,Marlon Brando,Elia Kazan,Budd Schulberg,10.43956044
13,The Lord of the Rings: The Two Towers,2002,8.8,Action,PG-13,179,A New Power Is Rising.,94000000,947944270,Elijah Wood,Peter Jackson,J.R.R. Tolkien,10.08451351
154,Finding Nemo,2003,8.2,Animation,G,100,71% of the Earth's surface is covered by water. That's a lot of space to find one fish.,94000000,941637960,Albert Brooks,Andrew Stanton,Andrew Stanton,10.01742511
186,Wild Strawberries,1957,8.1,Drama,Not Rated,91,"""We are such stuff as dreams are made on, and our little life is rounded with a sleep."" Shakespeare - The Tempest",150000,1500000,Victor Sjöström,Ingmar Bergman,Ingmar Bergman,10
195,Sherlock Jr.,1924,8.2,Action,Passed,45,every inch of footage holds such a laugh!,40000,400000,Buster Keaton,Buster Keaton,Jean C. Havez,10
110,To Kill a Mockingbird,1962,8.3,Crime,Approved,129,The most beloved and widely read Pulitzer Prize Winner now comes vividly alive on the screen!,2000000,20000000,Gregory Peck,Robert Mulligan,Harper Lee,10
19,Se7en,1995,8.6,Crime,R,127,"Long is the way, and hard, that out of hell leads up to light.",33000000,327333559,Morgan Freeman,David Fincher,Andrew Kevin Walker,9.919198758
164,Howl's Moving Castle,2004,8.2,Animation,PG,119,imationAdventureFamilyFantasy,24000000,237536126,Chieko Baisho,Hayao Miyazaki,Hayao Miyazaki,9.897338583
120,Indiana Jones and the Last Crusade,1989,8.2,Action,PG-13,127,He's back in an all new adventure. Memorial Day 1989.,48000000,474171806,Harrison Ford,Steven Spielberg,Jeffrey Boam,9.878579292
51,Alien,1979,8.5,Horror,R,117,In space no one can hear you scream.,11000000,106285522,Sigourney Weaver,Ridley Scott,Dan O'Bannon,9.662320182
9,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,Action,PG-13,178,The Legend Comes to Life,93000000,898204420,Elijah Wood,Peter Jackson,J.R.R. Tolkien,9.658112043
150,Spider-Man: No Way Home,2021,8.2,Action,PG-13,148,The Multiverse Unleashed.,200000000,1921847111,Tom Holland,Jon Watts,Chris McKenna,9.609235555
148,The Great Escape,1963,8.2,Adventure,Approved,172,put a fence in front of these men...and they'll climb it...,3800000,36000000,Steve McQueen,John Sturges,Paul Brickhill,9.473684211
179,12 Years a Slave,2013,8.1,Biography,R,134,The extraordinary true story of Solomon Northup,20000000,187733202,Chiwetel Ejiofor,Steve McQueen,John Ridley,9.3866601
23,City of God,2002,8.6,Crime,R,130,"If you run, the beast will get you. If you stay, the beast will eat you",3300000,30680793,Alexandre Rodrigues,Fernando Meirelles,Paulo Lins,9.29721
222,The Wizard of Oz,1939,8.1,Adventure,G,102,Mighty Miracle Show Of 1000 Delights !,2777000,25637669,Judy Garland,Victor Fleming,Noel Langley,9.232145841
166,The Bridge on the River Kwai,1957,8.2,Adventure,PG,161,"The towering triumph of adventure from the makers of ""Lawrence of Arabia.""",3000000,27200000,William Holden,David Lean,Pierre Boulle,9.066666667
223,Pather Panchali,1955,8.3,Drama,Not Rated,125,The Saga of an Indian Family,17000,150000,Kanu Bannerjee,Satyajit Ray,Bibhutibhushan Bandyopadhyay,8.823529412
106,Top Gun: Maverick,2022,8.3,Action,PG-13,130,Feel the need... The need for speed.,170000000,1488732821,Tom Cruise,Joseph Kosinski,Jim Cash,8.757251888
246,The Help,2011,8.1,Drama,PG-13,146,Change begins with a whisper.,25000000,216639112,Viola Davis,Tate Taylor,Tate Taylor,8.66556448
170,Fargo,1996,8.1,Crime,R,98,A homespun murder story.,7000000,60611975,William H. Macy,Joel Coen,Ethan Coen,8.658853571
79,Princess Mononoke,1997,8.4,Animation,PG-13,134,Live on.,20000000,173000000,Yôji Matsuda,Hayao Miyazaki,Hayao Miyazaki,8.65
147,Monty Python and the Holy Grail,1975,8.2,Adventure,PG,91,You can do worse than see it.,229575,1940906,Graham Chapman,Terry Gilliam,Graham Chapman,8.454343896
171,Gran Torino,2008,8.1,Drama,R,116,ma,33000000,269958228,Clint Eastwood,Clint Eastwood,Nick Schenk,8.180552364
104,Double Indemnity,1944,8.3,Crime,Passed,107,"IT'S LOVE AND MURDER AT FIRST SIGHT! (print ad - Lubbock Morning Avalanche - Lindsey Theatre - Lubbock, Texas - September 1, 1944 - all caps)",987000,8000000,Fred MacMurray,Billy Wilder,Billy Wilder,8.105369807
221,Before Sunset,2004,8.1,Drama,R,80,What if you had a second chance with the one that got away?,2000000,15900000,Ethan Hawke,Richard Linklater,Richard Linklater,7.95
78,Avengers: Endgame,2019,8.4,Action,PG-13,181,Avenge the fallen.,356000000,2799439100,Robert Downey Jr.,Anthony Russo,Christopher Markus,7.863592978
242,It Happened One Night,1934,8.1,Comedy,Passed,105,Two great lovers of the screen in the grandest of romantic comedies !,325000,2500000,Clark Gable,Frank Capra,Robert Riskin,7.692307692
16,The Matrix,1999,8.7,Action,R,136,Free your mind,63000000,467222728,Keanu Reeves,Lana Wachowski,Lilly Wachowski,7.416233778
44,Grave of the Fireflies,1988,8.5,Animation,Not Rated,89,imationDramaWar,1700000,12500000,Tsutomu Tatsumi,Isao Takahata,Akiyuki Nosaka,7.352941176
174,Million Dollar Baby,2004,8.1,Drama,PG-13,132,"Beyond his silence, there is a past. Beyond her dreams, there is a feeling. Beyond hope, there is a memory. Beyond their journey, there is a love.",30000000,216763646,Hilary Swank,Clint Eastwood,Paul Haggis,7.225454867
65,Aliens,1986,8.4,Action,R,137,This time there's more.,18500000,131060248,Sigourney Weaver,James Cameron,James Cameron,7.08433773
185,The Grand Budapest Hotel,2014,8.1,Adventure,R,99,ventureComedyCrime,25000000,173082189,Ralph Fiennes,Wes Anderson,Stefan Zweig,6.92328756
197,Mr. Smith Goes to Washington,1939,8.1,Comedy,Passed,129,"OUR OPERATOR SAYS..""IT'S GOING TO BE A PLEASURE TO RUN ""MR. SMITH GOES TO WASHINGTON"" 5 DAYS STARTING SUNDAY, NOV.7) (print ad - Lubbock Morning Avalanche - Cactus Theatre - Lubbock Texas - November 2, 1938 - all caps)",1300000,9000000,James Stewart,Frank Capra,Sidney Buchman,6.923076923
24,Saving Private Ryan,1998,8.6,Drama,R,169,"In the Last Great Invasion of the Last Great War, The Greatest Danger for Eight Men was Saving... One.",70000000,482349603,Tom Hanks,Steven Spielberg,Robert Rodat,6.890708614
227,The Incredibles,2004,8,Animation,PG,115,Save The Day,92000000,631607053,Craig T. Nelson,Brad Bird,Brad Bird,6.865294054
149,No Country for Old Men,2007,8.2,Crime,R,122,There Are No Clean Getaways,25000000,171627434,Tommy Lee Jones,Ethan Coen,Joel Coen,6.86509736
124,Downfall,2004,8.2,Biography,R,156,"April 1945, a nation awaits its...",13500000,92181574,Bruno Ganz,Oliver Hirschbiegel,Bernd Eichinger,6.828264741
173,Catch Me If You Can,2002,8.1,Biography,PG-13,141,The true story of a real fake.,52000000,352000000,Leonardo DiCaprio,Steven Spielberg,Jeff Nathanson,6.769230769
217,Stand by Me,1986,8.1,Adventure,13+,89,"For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of.",8000000,52287414,Wil Wheaton,Rob Reiner,Stephen King,6.53592675
63,Avengers: Infinity War,2018,8.4,Action,PG-13,149,An entire universe. Once and for all.,321000000,2052415039,Robert Downey Jr.,Anthony Russo,Christopher Markus,6.393816321
216,Logan,2017,8.1,Action,R,137,His time has come,97000000,619179950,Hugh Jackman,James Mangold,James Mangold,6.383298454
102,The Apartment,1960,8.3,Comedy,Approved,125,"Movie-wise, there has never been anything like ""THE APARTMENT"" love-wise, laugh-wise or otherwise-wise!",3000000,18778738,Jack Lemmon,Billy Wilder,Billy Wilder,6.259579333
219,Network,1976,8.1,Drama,R,121,"""NETWORK""... the humanoids, the love story, the trials and tribulations, the savior of television, the attempted suicides, the assassination -- it's ALL coming along with a galaxy of stars you know and love!",3800000,23690757,Faye Dunaway,Sidney Lumet,Paddy Chayefsky,6.234409737
235,My Father and My Son,2005,8.2,Drama,Not Rated,112,"Give him a room dad, he has no place to go...",2500000,15500000,Çetin Tekindor,Çagan Irmak,Çagan Irmak,6.2
229,La haine,1995,8.1,Crime,Not Rated,98,"So far, so good",2500000,15300000,Vincent Cassel,Mathieu Kassovitz,Mathieu Kassovitz,6.12
184,Gone Girl,2014,8.1,Drama,R,149,You don't know what you've got 'til it's...,61000000,368000000,Ben Affleck,David Fincher,Gillian Flynn,6.032786885
151,Kill Bill: Vol. 1,2003,8.2,Action,R,111,"In the year 2003, Uma Thurman will kill Bill",30000000,180906076,Uma Thurman,Quentin Tarantino,Quentin Tarantino,6.030202533
108,Hamilton,2020,8.4,Biography,PG-13,160,An American Musical,12500000,75000000,Lin-Manuel Miranda,Thomas Kail,Lin-Manuel Miranda,6
243,Persona,1966,8.1,Drama,Not Rated,83,A new film by Ingmar Bergman,250000,1500000,Bibi Andersson,Ingmar Bergman,Ingmar Bergman,6
5,12 Angry Men,1957,9,Crime,Approved,96,Life Is In Their Hands -- Death Is On Their Minds!,337000,2000000,Henry Fonda,Sidney Lumet,Reginald Rose,5.934718101
232,Hachi: A Dog's Tale,2009,8.1,Biography,G,93,"A true story of faith, devotion and undying love.",16000000,93000600,Richard Gere,Lasse Hallström,Stephen P. Lindsey,5.8125375
96,M,1931,8.3,Crime,Passed,99,IT STAGGERS THE SENSES!...SHOCKS the Imagination - It will leave you Gasping - It is the Sensation of 3 Continents!,6123,35566,Peter Lorre,Fritz Lang,Thea von Harbou,5.80859056
131,All About Eve,1950,8.2,Drama,Passed,138,It's all about women---and their men!,1400000,8000000,Bette Davis,Joseph L. Mankiewicz,Joseph L. Mankiewicz,5.714285714
91,2001: A Space Odyssey,1968,8.3,Adventure,G,149,Let the Awe and Mystery of a Journey Unlike Any Other Begin,12000000,65889846,Keir Dullea,Stanley Kubrick,Stanley Kubrick,5.4908205
143,A Beautiful Mind,2001,8.2,Biography,PG-13,135,The Only Thing Greater Than the Power of the Mind is the Courage of the Heart,58000000,316791257,Russell Crowe,Ron Howard,Akiva Goldsman,5.461918224
237,Rebecca,1940,8.1,Drama,Approved,130,"THE MIGHTY NOVEL LEAPS TO TURBULENT LIFE ON THE SCREEN! (Print Ad- Syracuse Herald-American, ((Syracuse, NY)) 24 March 1940)",1100000,6000000,Laurence Olivier,Alfred Hitchcock,Daphne Du Maurier,5.454545455
3,The Dark Knight,2008,9,Action,PG-13,152,Why So Serious?,185000000,1006234167,Christian Bale,Christopher Nolan,Jonathan Nolan,5.439103605
20,Seven Samurai,1954,8.6,Action,Not Rated,207,Will Take Its Place With the Seven Greatest Films of All Time!,580000,3133533,Toshirô Mifune,Akira Kurosawa,Akira Kurosawa,5.402643103
86,Toy Story 3,2010,8.3,Animation,G,103,The Breakout Comedy Of The Summer,200000000,1067316101,Tom Hanks,Lee Unkrich,John Lasseter,5.336580505
68,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,Comedy,PG,95,The comedy classic from celebrated director STANLEY KUBRICK,1800000,9523464,Peter Sellers,Stanley Kubrick,Stanley Kubrick,5.290813333
14,Inception,2010,8.8,Action,PG-13,148,Your mind is the scene of the crime,160000000,836848102,Leonardo DiCaprio,Christopher Nolan,Christopher Nolan,5.230300638
155,The Elephant Man,1980,8.2,Biography,PG,124,An incredible but true story... probably this year's best film.,5000000,26023860,Anthony Hopkins,David Lynch,Christopher De Vore,5.204772
244,Life of Brian,1979,8,Comedy,R,94,A motion picture destined to offend nearly two thirds of the civilized world. And severely annoy the other third.,4000000,20745728,Graham Chapman,Terry Jones,Graham Chapman,5.186432
70,Oldboy,2003,8.4,Action,R,120,"15 years of imprisonment, five days of vengeance",3000000,15421226,Choi Min-sik,Park Chan-wook,Garon Tsuchiya,5.140408667
29,Terminator 2: Judgment Day,1991,8.6,Action,R,137,It's nothing personal.,102000000,520881154,Arnold Schwarzenegger,James Cameron,James Cameron,5.10667798
238,Cool Hand Luke,1967,8.1,Crime,GP,127,"""What we've got here is failure to communicate.""",3200000,16200000,Paul Newman,Stuart Rosenberg,Donn Pearce,5.0625
118,Die Hard,1988,8.2,Action,R,132,It will blow you through the back wall of the theater!,28000000,141603197,Bruce Willis,John McTiernan,Roderick Thorp,5.057257036
203,"Monsters, Inc.",2001,8.1,Animation,G,92,"Monsters, Inc. : We Scare Because We Care",115000000,579707738,Billy Crystal,Pete Docter,Pete Docter,5.040936852
188,The Third Man,1949,8.1,Film-Noir,Approved,93,Carol Reed's Classic Thriller,1500000,7500000,Orson Welles,Carol Reed,Graham Greene,5
